year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1984.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Hiroshi Okachi,96011,JPN,Japan,24.0,False,
1968.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Toru Okajima,96012,JPN,Japan,10.0,False,
1972.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Toru Okajima,96012,JPN,Japan,9.0,False,
1972.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Tomio Okamura,96013,JPN,,47.0,False,
1972.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Tomio Okamura,96013,JPN,Japan,10.0,False,
1936.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Tadao Okayama,96014,JPN,,34.0,False,
1988.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Todd Okerlund,96015,USA,United States,7.0,False,
1948.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Ivan Šipajlo,96016,TCH,Czechoslovakia,14.0,False,
1984.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Hannu Oksanen,96017,FIN,Finland,6.0,False,
1964.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Lasse Oksanen,96018,FIN,Finland,6.0,False,
1968.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Lasse Oksanen,96018,FIN,Finland,5.0,False,
1972.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Lasse Oksanen,96018,FIN,Finland,5.0,False,
1956.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Emil Okuliár,96019,TCH,Czechoslovakia,8.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"50 kilometres, Men (Olympic)",Sotoo Okushiba,96020,JPN,,38.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Sotoo Okushiba,96020,JPN,Japan,10.0,False,
1968.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Shozo Okuyama,96021,JPN,,34.0,False,
1968.0,Winter,Biathlon,"4 × 7.5 kilometres Relay, Men (Olympic)",Shozo Okuyama,96021,JPN,Japan,13.0,False,
1964.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Frank Olafsen,96022,NOR,Norway,10.0,False,
1984.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Einar Ólafsson,96023,ISL,,49.0,False,
